Region,Amberg,Amberg,Amberg,Regensburg,Regensburg,Regensburg,AmbergLand,AmbergLand,AmbergLand,BeilngriesRiedenburg,BeilngriesRiedenburg,BeilngriesRiedenburg,Burglengenfeld,Burglengenfeld,Burglengenfeld,Cham,Cham,Cham,Eschenbach,Eschenbach,Eschenbach,Kemnath,Kemnath,Kemnath,Nabburg,Nabburg,Nabburg,NeumarktOP,NeumarktOP,NeumarktOP,NeunburgOberviechtach,NeunburgOberviechtach,NeunburgOberviechtach,NeustadtWN,NeustadtWN,NeustadtWN,Parsberg,Parsberg,Parsberg,RegensburgLand,RegensburgLand,RegensburgLand,Roding,Roding,Roding,Stadtamhof,Stadtamhof,Stadtamhof,Sulzbach,Sulzbach,Sulzbach,Tirschenreuth,Tirschenreuth,Tirschenreuth,Vohenstrauss,Vohenstrauss,Vohenstrauss,Waldmuenchen,Waldmuenchen,Waldmuenchen
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,26,32,10,103,46,30,2,0,0,7,7,0,11,6,0,37,20,7,7,2,3,1,0,2,5,0,3,16,7,3,12,10,1,16,8,5,4,3,1,13,14,7,14,4,3,23,125,11,12,0,0,0,2,0,0,0,0,6,5,3
2,3,0,0,8,5,1,2,2,3,1,1,0,8,2,7,5,5,4,2,0,0,1,2,0,11,1,2,1,1,0,0,0,0,1,2,1,0,5,1,18,15,7,10,3,2,9,10,5,1,3,0,5,1,1,0,0,0,2,1,1
3,2883,343,253,0,0,0,28,0,276,0,11,22,1309,834,1088,0,0,0,324,114,1,0,1,5,0,47,0,32,0,0,2,2,128,26,201,107,0,0,0,0,0,0,0,0,0,22,18,3,976,805,331,0,0,0,0,0,0,0,0,0
4,234,280,145,577,371,181,670,412,443,176,145,142,1065,502,264,429,490,233,164,168,220,764,603,357,312,321,363,150,129,119,732,807,851,2731,1037,563,78,131,72,228,127,63,104,306,108,1312,671,305,55,111,85,3083,1712,523,1099,683,579,175,194,302
5,127,1619,293,630,515,365,420,594,125,179,183,201,297,208,173,129,170,144,164,224,182,107,137,109,104,118,129,166,227,202,353,271,173,412,189,174,199,191,167,170,176,160,94,125,113,219,242,218,113,150,126,182,155,172,107,108,118,79,72,75
6,997,381,240,662,318,176,49,41,53,113,99,98,133,100,60,119,75,56,58,57,53,43,42,54,31,34,47,267,202,112,51,49,80,845,130,73,105,100,87,89,73,94,56,72,58,153,85,93,102,39,49,85,81,59,39,41,54,33,34,34
7,8,16,21,129,240,266,2,5,9,7,12,17,18,4,4,5,5,26,26,21,4,3,10,7,2,2,3,19,15,16,2,4,5,8,9,7,17,26,14,4,8,8,4,5,14,51,52,26,25,12,5,7,6,9,2,3,3,1,3,4
8,43,8,19,109,77,86,1,0,0,5,4,2,1,12,12,24,27,21,0,0,3,0,0,4,0,0,0,26,5,4,0,0,2,9,6,5,3,0,0,1,1,3,2,0,4,4,17,40,0,0,3,1,0,1,0,0,1,1,6,6
9,283,510,334,161,96,145,9,44,90,38,76,127,22,34,73,12,27,90,45,70,151,21,52,144,46,82,140,27,45,122,88,141,237,42,129,226,19,69,96,7,11,45,10,43,100,11,39,58,66,58,138,110,340,484,26,108,184,164,179,313
10,28,11,37,222,226,286,1,1,19,60,95,100,5,4,32,7,13,39,12,3,32,111,7,25,3,2,12,11,8,51,56,3,19,66,22,70,19,13,50,1,3,30,6,11,24,210,105,150,5,6,26,6,7,42,3,2,29,5,3,21
11,33,33,0,107,120,0,17,15,0,58,70,0,28,32,0,104,45,0,18,21,0,23,22,0,10,9,0,31,43,0,12,13,0,32,36,0,44,42,0,29,28,0,18,23,0,42,45,0,18,24,0,30,28,0,15,16,0,23,18,0
12,478,226,279,626,602,404,234,111,106,182,176,179,294,241,130,514,464,305,189,169,150,357,243,166,118,91,124,249,256,238,217,192,185,408,270,181,133,169,179,162,154,134,194,151,150,472,365,254,100,92,90,757,409,241,296,264,150,225,160,125
13,384,338,281,2033,1210,995,264,220,229,461,432,430,399,304,353,508,367,314,304,262,324,256,216,229,196,204,215,481,408,451,325,284,365,555,400,359,311,349,412,436,377,395,159,261,284,572,566,536,279,260,245,374,342,317,224,216,243,216,194,207
14,379,573,427,1480,1336,1361,213,327,369,344,494,528,286,435,407,486,401,360,324,365,411,286,336,321,168,240,240,325,536,567,234,353,451,483,558,582,332,482,480,287,480,501,157,350,388,427,716,763,403,671,729,414,539,517,371,488,413,174,202,192
15,101,0,0,419,0,0,16,0,0,37,0,0,46,0,0,31,0,0,19,0,0,20,0,0,18,0,0,57,0,0,25,0,0,77,0,0,39,0,0,38,0,0,25,0,0,124,0,0,39,0,0,57,0,0,22,0,0,23,0,0
16,678,552,131,1990,1118,276,187,178,147,341,282,300,437,331,99,180,173,115,235,172,122,197,167,96,149,133,97,336,281,281,136,269,142,767,416,148,204,243,203,241,306,140,194,141,135,396,523,207,419,446,102,536,474,185,139,130,69,129,67,58
17,65,51,37,527,380,307,0,0,0,11,6,5,21,17,9,14,9,10,5,0,1,6,4,2,7,2,1,24,14,4,4,7,3,33,14,8,3,0,0,5,3,0,12,8,1,14,9,13,19,15,9,15,10,5,5,2,2,6,5,3
18,16,0,4,89,9,10,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,1,18,3,20,28,0,0,11,8,8,0,0,1,0,0,0
19,608,485,258,2642,1907,1485,213,162,127,411,266,156,432,263,211,565,348,297,312,193,168,344,295,129,237,154,126,592,409,294,291,231,172,656,406,227,343,300,155,350,259,260,311,230,162,616,501,362,296,211,196,538,282,181,250,152,81,198,142,128
20,21,2,3,59,22,11,19,0,0,78,2,0,50,0,0,42,0,0,9,2,1,11,0,0,35,0,0,38,0,2,12,0,0,25,4,1,8,0,0,23,2,0,10,0,0,76,1,1,16,0,0,57,0,1,39,0,0,7,0,0
21,65,26,34,1097,141,149,29,15,17,46,55,48,31,16,17,58,28,46,50,16,14,37,21,18,16,11,8,66,54,46,38,25,20,84,48,43,51,28,29,38,31,19,42,25,18,46,62,38,39,26,32,48,33,35,56,42,31,42,31,24
22,293,296,171,908,690,472,355,279,195,359,153,208,343,316,268,356,325,184,384,287,148,208,125,76,191,96,60,430,315,156,329,258,218,398,336,85,331,399,139,287,186,297,155,226,116,446,390,238,246,205,205,452,296,92,287,123,114,152,165,138
23,2,0,0,106,0,0,5,0,0,4,0,0,14,0,0,15,0,0,19,0,0,9,0,0,5,0,0,11,0,0,5,0,0,7,0,0,3,0,0,14,0,0,13,0,0,56,0,0,6,0,0,6,0,0,25,0,0,7,0,0
