Region,Germersheim,Germersheim,Germersheim,Homburg,Homburg,Homburg,Kaiserslautern,Kaiserslautern,Kaiserslautern,Kusel,Kusel,Kusel,LandauPfalz,LandauPfalz,LandauPfalz,NeustadtDuerkheim,NeustadtDuerkheim,NeustadtDuerkheim,Pirmasens,Pirmasens,Pirmasens,SpeyerLudwigshafen,SpeyerLudwigshafen,SpeyerLudwigshafen,ZweibrueckenStIngbert,ZweibrueckenStIngbert,ZweibrueckenStIngbert,Bergzabern,Bergzabern,Bergzabern,Frankenthal,Frankenthal,Frankenthal
Year,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882,1907,1895,1882
1,38,33,19,20,5,1,125,67,33,7,3,0,130,90,44,147,117,46,35,20,6,193,130,113,75,34,26,28,9,4,65,32,11
2,22,23,29,1,4,1,5,3,0,0,0,0,4,2,0,1,1,0,6,3,1,11,19,28,8,6,4,2,2,0,4,2,0
3,0,0,1,2721,1436,362,153,322,181,0,12,55,0,0,0,20,6,25,0,0,27,0,0,0,2956,1925,1647,0,0,0,8,0,11
4,1066,791,172,772,475,216,2885,2144,1151,2267,1809,670,384,395,223,677,633,382,315,290,103,1882,1441,639,1859,1428,717,299,493,216,1937,1220,590
5,333,231,226,728,575,404,3260,1922,1834,384,447,402,1370,1264,528,1066,678,466,285,284,222,1969,1095,525,1131,831,646,827,604,210,937,598,502
6,113,105,136,181,150,116,4794,2686,1405,144,212,184,296,239,238,900,658,349,292,177,134,4737,1235,849,1956,910,492,360,203,117,1814,1769,738
7,7,56,48,11,8,10,224,306,238,19,10,5,51,81,29,37,36,48,59,63,22,7556,5323,3023,93,112,38,203,152,72,70,63,41
8,17,16,30,19,14,26,135,110,92,16,19,20,52,67,25,76,64,69,33,36,20,367,55,70,89,66,34,14,16,23,98,74,50
9,42,81,248,177,230,160,3480,4181,2140,396,170,210,317,137,288,1352,1138,875,30,27,120,1372,1390,1080,1130,732,460,23,51,149,29,39,95
10,81,66,87,13,11,71,363,218,308,23,15,112,27,31,121,966,714,649,173,50,261,118,95,170,649,425,669,111,55,119,197,181,209
11,316,89,0,83,87,0,385,251,0,119,131,0,94,69,0,116,119,0,720,610,0,225,172,0,203,232,0,50,68,0,205,72,0
12,748,600,547,449,421,419,2917,2242,1408,401,326,310,808,966,756,1060,914,793,508,512,443,1598,1010,526,805,780,704,826,911,736,1285,1158,536
13,1663,1386,795,1007,519,457,3399,2259,1636,598,425,357,2655,1368,820,2098,1609,946,894,534,407,4468,3369,1940,1517,1188,792,477,386,334,2384,2118,1212
14,870,1215,1139,946,1092,980,3469,4148,3123,781,970,963,1474,1911,1803,1405,2247,2047,15809,9170,4333,2677,3022,2140,2140,2211,1719,762,1049,815,1013,1426,1500
15,149,0,0,113,0,0,483,0,0,78,0,0,341,0,0,362,0,0,244,0,0,557,0,0,187,0,0,179,0,0,274,0,0
16,724,595,497,1261,859,423,3127,3102,1982,1000,812,609,1092,1346,707,1731,1386,802,1466,1147,498,5180,2710,968,2677,1710,693,489,491,369,914,824,591
17,76,56,25,24,13,5,288,266,121,32,18,8,134,93,61,194,210,71,90,45,20,569,243,134,114,77,33,25,19,20,73,55,30
18,10,5,4,7,0,5,44,72,14,0,0,14,24,2,7,8,3,12,1,0,1,19,4,8,10,2,4,2,1,5,4,1,12
19,1465,882,768,1569,765,446,4292,2866,1881,1064,563,387,2956,1719,1089,3552,2631,1410,1815,1111,545,4921,2993,1389,1955,927,735,996,702,573,2198,1581,892
20,72,0,1,132,3,0,298,14,10,111,0,0,125,4,4,174,31,20,105,3,6,303,43,12,82,8,3,81,1,0,135,10,6
21,93,86,84,171,75,55,440,292,248,72,36,19,293,158,105,404,294,166,195,61,48,600,363,269,174,96,77,87,69,63,196,119,114
22,609,412,199,627,374,92,1762,1117,518,564,304,159,1087,562,266,1132,896,336,846,543,164,2167,1226,448,907,524,497,540,263,217,750,450,208
23,30,0,0,80,0,0,207,0,0,56,0,0,34,0,0,54,0,0,55,0,0,145,0,0,27,0,0,14,0,0,54,0,0
