Muenchen,Rosenheim,80379,B
Erlangen,Nuernberg,72802,B
Landshut,Muenchen,72056,B
Frankenthal,Ludwigshafen,64431,B
Garmisch,Muenchen,53336,B
Lauf,Nuernberg,46536,B
Augsburg,Muenchen,46471,
Muenchen,Starnberg,46336,B
Ludwigshafen,NeustadtHaardt,45751,B
Feldkirchen,Muenchen,40242,B
LandauPfalz,NeustadtHaardt,40040,B
Edenkoben,LandauPfalz,39983,B
Regensburg,Straubing,38926,B
Ludwigshafen,Speyer,38167,B
Hersbruck,Nuernberg,38032,B
Kaiserslautern,Ludwigshafen,37792,B
Erlangen,Fuerth,36512,B
Edenkoben,NeustadtHaardt,36334,B
Helmbrechts,Hof,33184,B
Muenchen,Nuernberg,32726,
Muenchen,Tegernsee,31901,B
Muenchen,Tutzing,30381,B
Helmbrechts,Muenchberg,29308,B
Muenchen,Schleissheim,28269,B
Bruck,Muenchen,27353,B
BadDuerkheim,NeustadtHaardt,27142,B
NeumarktOP,Nuernberg,26503,B
LandauPfalz,Ludwigshafen,26125,B
Nuernberg,Schwabach,25170,B
Nuernberg,Roth,24908,B
Freising,Muenchen,23458,B
Nuernberg,Wendelstein,22320,B
Bamberg,Nuernberg,21919,
Kaiserslautern,NeustadtHaardt,21830,B
BadAibling,Muenchen,20669,B
Muenchen,Weilheim,18506,B
Pirmasens,Zweibruecken,18361,B
Feldafing,Muenchen,17658,B
BadToelz,Muenchen,17280,B
Amberg,Nuernberg,17206,B
Kitzingen,Wuerzburg,16924,B
Deidesheim,NeustadtHaardt,16909,B
BadDuerkheim,LandauPfalz,16794,B
Gruenstadt,Ludwigshafen,16700,B
Ludwigshafen,Zweibruecken,16489,B
LandauPfalz,Pirmasens,16479,B
Hof,Muenchberg,15930,B
NeustadtHaardt,Speyer,15607,B
Gruenstadt,NeustadtHaardt,15284,B
Frankenthal,Gruenstadt,15210,B
Muenchen,Berlin,14484,
Hof,Naila,14381,B
Ansbach,Nuernberg,14284,B
Forchheim,Fuerth,14058,B
Muenchen,Wolfratshausen,14023,B
Cadolzburg,Fuerth,14003,B
Dachau,Muenchen,13924,B
BadAibling,Rosenheim,13843,B
NeustadtHaardt,Mannheim,13735,
Kaiserslautern,Pirmasens,13710,B
Kaiserslautern,Zweibruecken,13595,B
BadDuerkheim,Ludwigshafen,13375,B
LandauPfalz,Speyer,13310,B
Feucht,Nuernberg,13253,B
Muenchen,Murnau,13057,B
Ludwigshafen,Pirmasens,12893,B
Aschaffenburg,Frankfurt,12568,
Frankenthal,NeustadtHaardt,12218,B
BadDuerkheim,Gruenstadt,11802,B
Kaiserslautern,LandauPfalz,11788,B
Frankenthal,Mannheim,11354,
Muenchen,Pfaffenhofen,11300,B
Muenchen,Schliersee,11275,B
Nuernberg,Wuerzburg,11204,
Homburg,Zweibruecken,11144,B
Muenchen,Regensburg,11128,
Muenchen,Oberammergau,10845,B
Muenchen,Frankfurt,10803,
Frankenthal,LandauPfalz,10687,B
Nuernberg,Frankfurt,10678,
Cadolzburg,Nuernberg,10656,B
Lindenberg,Weiler,10645,B
Deidesheim,BadDuerkheim,10619,B
Muenchen,Stuttgart,10613,
Kaiserslautern,Kirchheimbolanden,10503,B
Hof,Schwarzenbach,10357,B
Frankenthal,Kaiserslautern,10201,B
Hassloch,NeustadtHaardt,10024,B
Ingolstadt,Muenchen,9736,
Speyer,Mannheim,9649,
BadDuerkheim,Frankenthal,9587,B
Gruenstadt,Kaiserslautern,9490,B
Nuernberg,Berlin,9482,
Ochsenfurt,Wuerzburg,9430,B
Deidesheim,Ludwigshafen,9429,B
Holzkirchen,Muenchen,9077,B
Fuerth,Schwabach,8605,B
Kaiserslautern,Speyer,8582,B
Forchheim,Nuernberg,8499,B
Marktredwitz,Wunsiedel,8433,B
LandauPfalz,Mannheim,8336,
BadDuerkheim,Edenkoben,8080,B
Edenkoben,Ludwigshafen,7992,B
Nuernberg,Weissenburg,7930,B
Nuernberg,Regensburg,7877,
Kempten,Lindau,7871,B
LandauPfalz,Zweibruecken,7498,B
Miesbach,Muenchen,7432,B
Hassloch,Ludwigshafen,7410,B
Hof,Marktredwitz,7266,B
Deidesheim,LandauPfalz,7262,B
Lambrecht,Ludwigshafen,7248,B
Muenchen,Wuerzburg,7147,
Gruenstadt,Kirchheimbolanden,6972,B
NeustadtHaardt,Pirmasens,6810,B
Starnberg,Tutzing,6768,B
Mittenwald,Muenchen,6759,B
Kaiserslautern,Landstuhl,6734,B
Frankenthal,Speyer,6677,B
Augsburg,Schwabmuenchen,6581,B
Bayreuth,Nuernberg,6566,
BadDuerkheim,Kaiserslautern,6365,B
Homburg,Kaiserslautern,6318,B
Lambrecht,LandauPfalz,6317,B
Immenstadt,Kempten,6279,B
Kempten,Lindenberg,6268,B
SanktIngbert,Zweibruecken,6216,B
Gruenstadt,LandauPfalz,6215,B
Hof,Wunsiedel,6198,B
Helmbrechts,Naila,6092,B
Garmisch,Mittenwald,6052,B
Oberkotzau,Schwarzenbach,5964,B
Helmbrechts,Marktredwitz,5860,B
Hof,Selb,5819,B
Kempten,Memmingen,5780,B
Feldafing,Tutzing,5779,B
Muenchberg,Schwarzenbach,5765,B
Feucht,Wendelstein,5755,B
Pirmasens,Speyer,5694,B
Kaiserslautern,Lambrecht,5593,B
Hof,Oberkotzau,5450,B
Muenchen,Passau,5436,
Augsburg,Nuernberg,5383,
Ludwigshafen,Worms,5217,
Deidesheim,Gruenstadt,5202,B
Kirchheimbolanden,Ludwigshafen,5126,B
Arzberg,Marktredwitz,5089,B
