Wahlkreis,LW,IG,HD,Catholics,Participation,DF,DVP,K,NL,RP,S,Z,ub,Seat
237,2.2,51.2,46.5,79.7,65.9,6,0,0,35.1,0,37.1,21.8,0,S
238,16.3,45.6,38,88.6,61.2,1.8,0,0,0,0,52.3,29.1,16.8,S
239,63.7,26.8,9.5,97.1,58,0.6,0,0,8.2,0,8.2,82.8,0,Z
240,62.5,16.8,20.7,95.9,49.2,0,0,0.7,0.3,0,4.2,94.8,0,Z
241,74.4,16.4,9.2,99.7,51.7,0,0,0,0.5,0,0.5,98.7,0,Z
242,68.4,19.8,11.8,98.6,51.7,0,0,0,0,0,3.3,74.4,22.3,Z
243,60.4,26.5,13.1,98.2,50.9,0,0,0,19.3,0,9.6,71.1,0,Z
244,64.4,21.5,14.2,99.2,52.6,0,0,0,9.7,0,1.3,89,0,Z
245,66.5,19.2,14.4,98.8,62.2,0,0,0,17.4,0,2.6,80,0,Z
246,75,15.3,9.8,98.8,41.9,0,0,0.2,1.4,0,4,93.4,0,Z
247,72,15.9,12.1,98.7,45.7,0,0,0,20.6,0,2.9,76.5,0,Z
248,78.3,14.3,7.4,99.7,41.6,0.6,0,0,14.8,0,1,83.6,0,Z
249,74,17.2,8.8,99.6,32.7,0,0,0,2.4,0,0.6,97,0,Z
250,75,16.6,8.4,99.5,52.8,0,0,0,20,0,1.2,78.8,0,Z
251,32.3,47.5,20.3,48.4,80.7,4.6,0,0,44.1,0,25.5,25.8,0,NL
252,52.2,27.9,20,43.7,81.8,44.4,0,0,51.8,0,3.8,0,0,NL
253,63.4,21.8,14.8,54.2,76.5,1,0,0,53.9,0,1.6,43.5,0,NL
254,39.7,47.8,12.5,52.4,81.5,0.7,0,0,50.3,0,10.4,38.6,0,NL
255,57.2,33,9.9,33,62.4,0.3,0,0,66.9,0,0.8,32,0,NL
256,42.5,43.3,14.2,28,75.9,0,29.3,0,50.1,0,8.2,12.4,0,NL
257,52,27.3,20.8,93.9,51.6,0,0,0,13.2,0,12.4,74.1,0,Z
258,67,21.1,11.9,80.7,50,0,0,0,10.1,0,2.3,74.3,13,Z
259,78.6,14,7.4,93.5,54.5,0,0,5,0,0,1.4,92.8,0,Z
260,76.9,15.9,7.3,99.6,44.7,0,0,0,0,0,1.2,86.9,11.9,Z
261,70.8,21.5,7.8,88.5,49,0,0,0,18.6,0,1.8,79.6,0,Z
262,32.1,55.9,12,4,72.3,32.6,0,0,47.6,0,20.1,0.1,0,DF
263,45.2,38.7,16.1,12.2,69.3,42.9,0,0,48.9,0,7.8,0.4,0,NL
264,73.7,19.1,7.2,45,66.4,23.2,0,0,0,23.7,6.5,43.5,0.2,Z
265,61.1,30,10.6,64.9,67.2,3.4,0,0,0,22.3,29,45.3,0,Z
266,58.2,23.9,17.9,83.4,60.9,4.2,0,0,1.8,0,21.1,72.9,0,Z
267,11.7,60,28.3,20.1,77.4,31.9,0,0.6,10,0,56.4,0.8,0,S
268,38.9,41.2,19.9,16,69.5,56.1,19.1,0,20.6,0,30.5,1.6,0,DF
269,59.7,27.4,12.9,13.8,65.4,0,37.6,8.1,46.3,0,7.8,0.2,0,NL
270,66.8,21.8,11.3,65.7,73.9,0,18,3.5,15.2,0,0.8,62.5,0,Z
271,76.9,15.4,7.8,20,60.8,15.7,0,46.5,18.6,0,3.7,15.5,0,K
272,75.1,17.1,7.8,10.1,60,33.8,0,0,54,0,5.6,6.6,0,NL
273,63.5,24.3,12.2,93.6,63.7,0,13.4,0,11.2,0,10,65.4,0,Z
274,71.8,10.8,10.2,62.6,70.7,0,12.3,0,34.6,0,1.8,51.3,0,Z
275,76.4,12.1,11.5,88.2,58.2,0,11,0,9.7,0,8.8,69.8,0,Z
276,73.2,14.4,12.4,78.8,56.8,0,17.1,3.3,16,0,0.6,63,0,Z
277,68.4,20.1,11.6,69.4,74.7,0,4,0.5,32.7,0,11.9,50.9,0,Z
278,32.1,34.7,33.2,82,71.1,0,18.3,2.5,1.9,0,33.2,44.1,0,Z
279,26.8,47.4,25.8,80.5,77.3,0,0,0,28.4,0,21.8,49.8,0,Z
280,69.6,17.1,13.3,68.8,65.4,0,0,0,37.8,0,1,60.7,0,Z
281,69.3,20.6,10.1,92,56.9,0,0,0,18.6,0,2,79.4,0,Z
282,64,22.1,13.9,82.9,61.5,0.2,0,0,31,0,3.8,65,0,Z
283,70.2,20.2,9.6,97.1,68.2,0,0,0,26.9,0,3.9,69.1,0,Z
284,59.7,26.2,14.1,90.2,81.4,0,0,0,49.1,0,0.4,50.5,0,Z
